property_id,price,price_per_sqft,beds,baths,sqft,prop_type,address,city,state,postal_code,latitude,longitude,list_date
5526783451,654999,202.66058168316832,4.0,4.0,3232.0,Single Family,7701 Quaint Ct,Bowie,MD,20720,38.995146,-76.787708,2025-10-27T15:31:05.000000Z
6659827316,360000,292.2077922077922,3.0,3.0,1232.0,Townhomes,3504 Easton Dr,Bowie,MD,20716,38.937481,-76.735066,2025-10-27T13:35:36.000000Z
5177872885,119000,,,,,Land,12921 Fletchertown Rd,Bowie,MD,20720,38.990375,-76.781269,2025-10-27T00:19:50.000000Z
6918699298,525000,212.37864077669903,4.0,3.0,2472.0,Single Family,12217 Fleming Ln,Bowie,MD,20715,38.964381,-76.745531,2025-10-26T15:16:02.000000Z
9612667005,549990,229.3536280233528,4.0,5.0,2398.0,Townhomes,16130 Meadow Glenn Dr,Bowie,MD,20716,,,2025-10-26T10:00:29.000000Z
9866028258,591990,301.57412124299543,3.0,4.0,1963.0,Townhomes,5020 Henry King Way Unit 22F,Bowie,MD,20715,38.959156,-76.704033,2025-10-26T07:26:59.000000Z
9812606333,674820,,4.0,4.0,0.0,Townhomes,117 Summit Point Blvd,Bowie,MD,20716,38.897305,-76.725327,2025-10-26T07:26:59.000000Z
9386881925,639990,259.8416565164434,3.0,4.0,2463.0,Townhomes,17313 Hardisty Way St Unit 7F,Bowie,MD,20715,38.958881,-76.704445,2025-10-26T07:26:59.000000Z
9072707906,649990,,3.0,4.0,0.0,Townhomes,17309 Hardisty Way St Unit 5F,Bowie,MD,20715,38.958992,-76.704445,2025-10-26T07:26:59.000000Z
9584944026,596990,300.75062972292193,3.0,4.0,1985.0,Townhomes,5022 Henry King Way Unit 23F,Bowie,MD,20715,38.959209,-76.704033,2025-10-26T07:26:59.000000Z
9686742207,596990,304.1212429954152,3.0,4.0,1963.0,Townhomes,5016 Henry King Way Unit 20F,Bowie,MD,20715,38.959045,-76.704033,2025-10-26T07:26:59.000000Z
5810212466,400000,222.22222222222223,4.0,3.0,1800.0,Townhomes,14929 London Ln,Bowie,MD,20715,38.955011,-76.745156,2025-10-25T19:49:05.000000Z
6222983160,1000000,193.05019305019306,5.0,5.0,5180.0,Single Family,12604 Willow Marsh Ln,Bowie,MD,20720,38.96822,-76.785215,2025-10-25T18:28:56.000000Z
6477510953,399900,204.86680327868854,3.0,3.0,1952.0,Townhomes,16007 Elegant Ct,Bowie,MD,20716,38.943045,-76.727238,2025-10-25T15:40:05.000000Z
5658006801,739000,186.6161616161616,4.0,4.0,3960.0,Single Family,13708 Camelot Field Ct,Bowie,MD,20720,38.949069,-76.767162,2025-10-24T17:49:55.000000Z
5765933526,449000,242.83396430502975,3.0,2.0,1849.0,Single Family,4106 Wakefield Ln,Bowie,MD,20715,38.99478,-76.744285,2025-10-24T15:50:02.000000Z
6882045354,459999,300.65294117647056,3.0,4.0,1530.0,Townhomes,1802 Spanish Oak Ln,Bowie,MD,20721,38.913765,-76.836009,2025-10-24T15:23:48.000000Z
417000725867,464990,228.6086529006883,3.0,,2034.0,Townhouse,110 Summit Point Blvd,Bowie,MD,20716,38.897091,-76.72419,2025-10-24T10:00:19.000000Z
417000725866,449990,258.4663986214819,3.0,,1741.0,Townhouse,110 Summit Point Blvd,Bowie,MD,20716,38.897091,-76.72419,2025-10-24T10:00:19.000000Z
417000725864,509990,214.55195624737064,4.0,,2377.0,Townhouse,110 Summit Point Blvd,Bowie,MD,20716,38.897091,-76.72419,2025-10-24T10:00:19.000000Z
417000725863,479990,235.9832841691249,3.0,,2034.0,Townhouse,110 Summit Point Blvd,Bowie,MD,20716,38.897091,-76.72419,2025-10-24T10:00:19.000000Z
6022613634,224999,317.795197740113,1.0,2.0,708.0,Condos,15614 Everglade Ln Apt 104,Bowie,MD,20716,38.940602,-76.73209,2025-10-23T20:13:26.000000Z
5536707564,620000,265.29738981600343,4.0,4.0,2337.0,Single Family,11500 Waesche Dr,Bowie,MD,20721,38.916088,-76.809756,2025-10-23T16:25:13.000000Z
5784387168,899000,277.1270036991369,3.0,2.0,3244.0,Single Family,4705 Enterprise Rd,Bowie,MD,20720,38.954271,-76.797933,2025-10-23T10:07:01.000000Z
